dataType,text,label
crime,ACCIDENTAL DEATH,0
crime,ACCIDENTAL INJURY,0
crime,ACCIDENTAL SHOOTING INJURY,0
crime,ACCIDENTAL SHOOTING NON-INJURY,0
crime,AGG ASLT ENHANC STRANGL/SUFFOC,0
crime,AGG ASLT STRANGLE/SUFFOCATE,0
crime,AGG ASLT W/MOTOR VEH FAM/DAT V,0
crime,AGG ASSAULT,0
crime,AGG ASSAULT FAM/DATE VIOLENCE,0
crime,AGG ASSAULT WITH MOTOR VEH,0
crime,AGG FORCED SODOMY,0
crime,AGG KIDNAPPING,0
crime,AGG ROBBERY BY ASSAULT,0
crime,AGG ROBBERY/DEADLY WEAPON,0
crime,AGG ROBBERY/DEADLY WEAPON   (ATTEMPTED),0
crime,ANIMAL BITE,0
crime,ANIMAL BITE - FIREARM USED,0
crime,ASSAULT BY CONTACT,0
crime,ASSAULT BY CONTACT FAM/DATING,0
crime,ASSAULT BY THREAT,0
crime,ASSAULT BY THREAT FAM/DATING,0
crime,ASSAULT  CONTACT-SEXUAL NATURE,0
crime,ASSAULT INFO (FAMILY VIOLENCE,0
crime,ASSAULT INFORMATION,0
crime,ASSAULT INFORMATION   (ATTEMPTED),0
crime,ASSAULT OF A PREGNANT WOMAN,0
crime,ASSAULT OF PREGNANT WM-FAM/DAT,0
crime,ASSAULT ON PEACE OFFICER,0
crime,ASSAULT ON PUBLIC SERVANT,0
crime,ASSAULT W/INJURY-FAM/DATE VIOL,0
crime,ASSAULT WITH INJURY,0
crime,ATTACK BY DOG,0
crime,BOAT CRASH/ACCIDENT,0
crime,BURG OF RES - FAM/DATING ASLT,0
crime,BURG OF RES - SEXUAL NATURE,0
crime,CHILD ABUSE INFORMATION,0
crime,CHILD EXPLOITATION INFORMATION,0
crime,CONT VIOL AGAINST FAMILY,0
crime,CRASH,0
crime,CRASH/CITY VEHICLE,0
crime,CRASH/CROSSWALK VULNERABLE USER BI-MISD,0
crime,CRASH/FAIL STOP AND RENDER AID,0
crime,CRASH/FATALITY,0
crime,CRASH/INTOXICATION ASSAULT,0
crime,CRASH/INTOX MANSLAUGHTER,0
crime,CRASH/LEAVE SCENE-NO SUSPECT,0
crime,CRASH/LEAVING THE SCENE,0
crime,CRASH/SERIOUS BODILY INJURY,0
crime,CRIMES AGAINST ELDERLY,0
crime,CRIMINAL SOLICITATION,0
crime,CRUELTY TO ANIMALS,0
crime,CRUELTY TO ANIMALS   (ATTEMPTED),0
crime,CUSTODY ARREST TRAFFIC WARR,0
crime,DANGEROUS ANIMAL,0
crime,DEADLY CONDUCT,0
crime,DEADLY CONDUCT FAM/DATE VIOL,0
crime,DOC DISCHARGE GUN - PUB PLACE,0
crime,DOC DISCHARGE GUN - PUB ROAD,0
crime,DOC DISPLAY GUN/DEADLY PUB PLC,0
crime,DRIVING WHILE INTOX / FELONY,0
crime,DRIVING WHILE LICENSE INVALID,0
crime,DUI - AGE 17 TO 20,0
crime,DWI,0
