dataType,text,label
crime,ABDUCTION - INTICING,0
crime,"A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ.",0
crime,A&B ON POLICE OFFICER,0
crime,AFFRAY,0
crime,ANIMAL ABUSE,0
crime,ANIMAL CONTROL - DOG BITES - ETC.,0
crime,ANIMAL INCIDENTS,0
crime,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",0
crime,ASSAULT - AGGRAVATED,0
crime,ASSAULT - AGGRAVATED - BATTERY,0
crime,ASSAULT & BATTERY,0
crime,ASSAULT & BATTERY D/W - KNIFE,0
crime,ASSAULT & BATTERY D/W - OTHER,0
crime,ASSAULT & BATTERY D/W - OTHER ON POLICE OFFICER,0
crime,ASSAULT D/W - KNIFE ON POLICE OFFICER,0
crime,ASSAULT D/W - OTHER,0
crime,ASSAULT - SIMPLE,0
crime,ASSAULT SIMPLE - BATTERY,0
crime,CHILD ABANDONMENT (NO ASSAULT),0
crime,CHILD ABUSE,0
crime,CHILD ENDANGERMENT,0
crime,CHILD ENDANGERMENT (NO ASSAULT),0
crime,CHILD REQUIRING ASSISTANCE (FOMERLY CHINS),0
crime,CHINS,0
crime,CONTRIBUTING TO DELINQUENCY OF MINOR,6
crime,CRIMINAL HARASSMENT,0
crime,CUSTODIAL KIDNAPPING,0
crime,EXTORTION OR BLACKMAIL,0
crime,FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH,0
crime,FUGITIVE FROM JUSTICE,0
crime,HARASSMENT,0
crime,HARASSMENT/ CRIMINAL HARASSMENT,0
crime,HOME INVASION,0
crime,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,4
crime,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,4
crime,INJURY BICYCLE NO M/V INVOLVED,0
crime,INTIMIDATING WITNESS,0
crime,Justifiable Homicide,0
crime,KIDNAPPING/CUSTODIAL KIDNAPPING,0
crime,KIDNAPPING/CUSTODIAL KIDNAPPING/ ABDUCTION,0
crime,KIDNAPPING - ENTICING OR ATTEMPTED,0
crime,KILLING OF FELON BY POLICE,0
crime,MANSLAUGHTER - NEGLIGENCE,0
crime,MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE,0
crime,MANSLAUGHTER - VEHICLE - NEGLIGENCE,0
crime,Migrated Report - Aggravated Assault/Aggravated Assault & Battery,0
crime,Migrated Report - Assault/Assault & Battery,0
crime,Migrated Report - Criminal Homicide,0
crime,Migrated Report - Death Investigation,0
crime,Migrated Report - Injured/Medical/Sick Assist,0
crime,Migrated Report - Kidnapping,0
crime,Migrated Report - Motor Vehicle Crash,0
crime,MISSING PERSON,6
crime,"MURDER, NON-NEGLIGENT MANSLAUGHTER",0
crime,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",0
crime,POSSESSION OF BURGLARIOUS TOOLS,2
crime,PRISONER ATTEMPT TO RESCUE,0
crime,PRISONER ESCAPE / ESCAPE & RECAPTURE,0
crime,PRISONER - SUICIDE / SUICIDE ATTEMPT,0
crime,STALKING,0
crime,SUDDEN DEATH,0
crime,SUICIDE / SUICIDE ATTEMPT,0
crime,THREATS TO DO BODILY HARM,0
crime,WARRANT ARREST,6
crime,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),6
crime,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,6
crime,ARSON,1
crime,B&E NON-RESIDENCE DAY - FORCIBLE,1
crime,B&E NON-RESIDENCE DAY - NO FORCE,1
crime,B&E NON-RESIDENCE DAY - NO PROP TAKEN,1
crime,B&E NON-RESIDENCE NIGHT - FORCE,1
crime,B&E RESIDENCE DAY - NO FORCE,1
crime,B&E RESIDENCE DAY - NO PROP TAKEN,1
crime,B&E RESIDENCE NIGHT - ATTEMPT FORCE,1
crime,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,1
crime,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),1
crime,BURGLARY - COMMERICAL,1
crime,BURGLARY - COMMERICAL - ATTEMPT,1
crime,BURGLARY - COMMERICAL - FORCE,1
crime,BURGLARY - COMMERICAL - NO FORCE,1
crime,BURGLARY - OTHER - ATTEMPT,1
crime,BURGLARY - OTHER - FORCE,1
crime,BURGLARY - OTHER - NO FORCE,1
crime,BURGLARY - RESIDENTIAL,1
crime,BURGLARY - RESIDENTIAL - ATTEMPT,1
crime,BURGLARY - RESIDENTIAL - FORCE,1
crime,BURGLARY - RESIDENTIAL - NO FORCE,1
crime,EXPLOSIVES - TURNED IN OR FOUND,1
crime,FIREARM/WEAPON - FOUND OR CONFISCATED,1
crime,FIREARM/WEAPON - LOST,1
crime,FIRE REPORT,1
crime,"FIRE REPORT - CAR, BRUSH, ETC.",1
crime,"FIRE REPORT - HOUSE, BUILDING, ETC.",1
crime,GRAFFITI,1
crime,Migrated Report - Burglary/Breaking and Entering,1
