dataType,text,label
311,Animal In Trap Complaint,0
311,Bee/Wasp Removal,0
311,Coyote Interaction Complaint,0
311,Dead Animal Pick-Up Request,0
311,Dead Bird,0
311,Nuisance Animal Complaint,0
311,Pet Wellness Check Request,0
311,Report an Injured Animal,0
311,Stray Animal Complaint,0
311,Vicious Animal Complaint,0
311,Aircraft Noise Complaint,1
311,Abandoned Vehicle Complaint,2
311,Clean Vacant Lot Request,2
311,Fly Dumping Complaint,2
311,Graffiti Removal Request,2
311,No Solicitation Complaint,2
311,Rodent Baiting/Rat Complaint,2
311,Vacant/Abandoned Building Complaint,2
311,Alley Light Out Complaint,3
311,Alley Sewer Inspection Request,3
311,Buildings - Plumbing Violation,3
311,Building Violation,3
311,City Vehicle Sticker Violation,3
311,Commercial Fire Safety Inspection Request,3
311,Inspect Public Way Request,3
311,Lead Inspection Request,3
311,No Building Permit and Construction Violation,3
311,Pavement Cave-In Inspection Request,3
311,Porch Inspection Request,3
311,Sanitation Code Violation,3
311,Sewer Cave-In Inspection Request,3
311,Sewer Cleaning Inspection Request,3
311,Sidewalk Inspection Request,3
311,Sign Repair Request - All Other Signs,3
311,Sign Repair Request - Do Not Enter Sign,3
311,Sign Repair Request - One Way Sign,3
311,Sign Repair Request - Stop Sign,3
311,Street Light On During Day Complaint,3
311,Street Light Out Complaint,3
311,Street Light Pole Damage Complaint,3
311,Street Light Pole Door Missing Complaint,3
311,Viaduct Light Out Complaint,3
311,Business Complaints,4
311,Cable TV Complaint,4
311,Consumer Fraud Complaint,4
311,Consumer Retail Business Complaint,4
311,Inaccurate Fuel Pump Complaint,4
311,Inaccurate Retail Scales Complaint,4
311,Licensed Pharmaceutical Representative Complaint,4
311,Liquor Establishment Complaint,4
311,Outdated Merchandise Complaint,4
311,Paid Sick Leave Violation,4
311,Petcoke Dust Complaint,4
311,Public Vehicle/Valet Complaint,4
311,Pushcart Food Vendor Complaint,4
311,Renters and Foreclosure Complaint,4
311,Restaurant Complaint,4
311,Ridesharing Complaint,4
311,Shared Housing/Vacation Rental Complaint,4
311,Sidewalk Café/Outdoor Dining Complaint,4
311,Smokeless Tobacco at Sports Event Complaint,4
311,Tobacco - General Complaint,4
311,Tobacco - Sale to Minors Complaint,4
311,Wage Complaint,4
311,Alley Pothole Complaint,5
311,Pothole in Street Complaint,5
311,Protected Bike Lane - Debris Removal,5
311,Street Cleaning Request,5
311,Traffic Signal Out Complaint,6
311,Ice and Snow Removal Request,8
311,Snow - Object/Dibs Removal Request,8
311,Snow Removal - Protected Bike Lane or Bridge Sidewalk,8
311,Snow – Uncleared Sidewalk Complaint,8
311,Bicycle Request/Complaint,9
311,Divvy Bike Parking Complaint,9
311,E-Scooter,9
311,E-Scooter Parking Complaint,9
311,Vehicle Parked in Bike Lane Complaint,9
311,Clean and Green Program Request,10
311,Tree Debris Clean-Up Request,10
311,Tree Emergency,10
311,Tree Planting Request,10
311,Tree Removal Inspection,10
311,Tree Trim Request (NO LONGER BEING ACCEPTED),10
311,Weed Removal Request,10
311,Check for Leak,11
311,Low Water Pressure Complaint,11
311,No Water Complaint,11
311,Open Fire Hydrant Complaint,11
311,Water in Basement Complaint,11
311,Water Lead Test Kit Request,11
311,Water Lead Test Visit Request,11
311,Water On Street Complaint,11
311,Water Quality Concern,11
311,Blue Recycling Cart,12
311,Garbage Cart Maintenance,12
311,Missed Garbage Pick-Up Complaint,12
311,Recycling Inspection Request,12
311,Recycling Pick Up,12
311,Wire Basket Request,12
311,Yard Waste Pick-Up Request,12
311,311 INFORMATION ONLY CALL,14
311,Bungalow/Vintage Home Information Request,14
311,Cab Feedback,14
311,Extreme Weather Notification,14
311,Home Buyer Program Info Request,14
