dataType,text,label
311,24 Hour Parking Violation - DPD,9
311,24 hr parking,9
311,311 Event Request - 311,14
311,ADA Accessibility Concerns - OEI,3
311,Air Pollution Complaint - OEQS,13
311,Alley Repair - Routine - PBW,5
311,Alley Rumble Strips New - TRN,6
311,Alley/Sidewalk/Street Repair - Hazardous - PBW,8
311,Animal Aggressive Behavior - DAS,0
311,Animal Bite - DAS,0
311,Animal Community Cat Program - DAS,0
311,Animal Confined - DAS,0
311,Animal Lack of Care - DAS,0
311,Animal Loose Cat - DAS,0
311,Animal Loose - DAS,0
311,Animal Nuisance - DAS,0
311,Animal Owner Surrender - DAS,0
311,Animal Wildlife - DAS,0
311,Barricades - Pickup/Reset/Replace - PBW,5
311,Bike Lane Marking Maintenance – TRN,5
311,Bike Paths/Routes - TRN,5
311,Bike Share - TRN,9
311,Boarding Home Complaint - CCS,4
311,Boarding Home Facilities  - CCS,4
311,Boarding Home Facilities - CCS,4
311,Bond Program Projects - BCM,14
311,Bond Program Projects - OBP,14
311,Bond Program Projects - PBW,14
311,Building Permits Violation - DEV,3
311,Building Permits Violation - SDC,3
311,Building Permit Violation-DEV,3
311,CCS,14
311,Chemical Spill Urgent - OEQS,13
311,Chronic Noise Complaint - DPD,1
311,City Hall on the Go Request - 311,14
311,City Property Management/ Real Estate - PBW,5
311,City Property Management/ Real Estate - SDC,5
311,code concern,3
311,Code concern,3
311,Code Concern,3
311,Code Concern - CCS,3
311,Code Concern-CCS,3
311,Code Concern - CCS - CP,3
311,code conern,3
311,Commercial Pool Complaint - CCS,4
311,Community Care Services - OCC,14
311,community prosecution,14
311,Community Prosecution,14
311,Community Prosecution - CAO,14
311,Community Prosecution- CAO,14
311,Complaint/Compliment - 311,14
311,Conservation District Violation - PNV,3
311,Construction Right of Way/Status - PBW,5
311,Construction Site Complaint - DEV,3
311,Construction Site Complaint - SDC,3
311,Consumer Health,13
311,Consumer Protection Complaint - CCS,4
311,Creek Bank Erosion - DWU,7
311,Creek/Culvert Blockage - DWU,7
311,Creek/Culvert Maintenance -DWU,7
311,Criminal Activities - DPD,2
311,CSR Test,14
311,Dead Animal Pick Up - DAS,0
311,Drainage Ditch Cleaning/Repairs - PBW,5
311,Educational Request - DFR,10
311,Emergency Regulations Violation - CCS,3
311,Extra Police Patrol - DPD,2
311,Fair Housing Complaint - EIO,4
311,Fair Housing Complaint - FHO,4
311,Fair Housing Complaint - OEI,4
311,Fair Park Parking Violation - TRN,9
311,Fire Inspection - DFR,3
311,Fireworks,1
311,Fireworks - DPD,1
311,Flooded Roadway Warning System - DWU,7
311,Flooding - Emergency - PBW,7
311,Floodplain Project Inquiry - DWU,7
311,Floodplain/Stormwater Project Inquiry - DWU,7
311,Food Borne Illness - CCS,13
311,Graffiti City Streets & Bridges - PBW,2
311,Graffiti Traffic Signal - TRN,2
311,Graffiti Traffic Sign - TRN,2
311,Guardrail - New - TRN,5
311,Guardrail Repair - Hazardous - PBW,5
311,Guardrail Repair - Routine - PBW,5
311,Handicap Parking Violation - DPD,9
311,HEAVY CLEAN,14
311,High Water Flooded Roadway Alarm Warning System - PBW,7
311,Historic/Conservation District Violation - DEV,3
311,Historic/Conservation District Violation - SDC,3
