dataType,text,label
crime,ABUSE OF CORPSE,0
crime,ACCIDENT INVOLVING DEATH,0
crime,ACCIDENT INVOLVING INJURY,0
crime,ACCIDENT INVOLVING SERIOUS BODILY INJURY,0
crime,ARSON -(W BODILY INJURY OR DEATH)-ALL OTH STRUCT - INHABIT,0
crime,ARSON -(W BODILY INJURY OR DEATH) -ALL OTH STRUCT-UNINHAB,0
crime,ARSON -(W BODILY INJURY OR DEATH) -COM/PUBLIC - UNINHAB,0
crime,ARSON -(W BODILY INJURY OR DEATH)-OTH COMM-INHABITED,0
crime,ARSON -(W BODILY INJURY OR DEATH) -OTH COMM - UNINHAB,0
crime,ARSON -(W BODILY INJURY OR DEATH)-OTH RESDE-UNINHABITED,0
crime,ARSON -(W BODILY INJURY OR DEATH) -OTH RESD - INHABITED,0
crime,ARSON -(W BODILY INJURY OR DEATH)-SINGLE RES-INHABITED,0
crime,ARSON -(W BODILY INJURY OR DEATH) -SINGLE RES UNINHAB,0
crime,ARSON -(WITH BODILY INJURY OR DEATH) - ALL OTHERS,0
crime,ARSON -(WITH BODILY INJURY OR DEATH) - MOTOR VEH,0
crime,ARSON W/MAN OR ATT MAN CONT SUB DMGE BLDG/HAB/VEG,0
crime,ASSAULT (AGG) -AGAINST SECURITY OFF (AGG),0
crime,ASSAULT (AGG) -BY PUBLIC SERVANT (AGG),0
crime,ASSAULT (AGG) -DEADLY WEAPON,0
crime,ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),0
crime,ASSAULT (AGG) -EMS PER PROVIDE SERVICE - SER BODY INJ,0
crime,ASSAULT (AGG) -GOVERN CONTRACTOR OR EMP VIC - SBI,0
crime,ASSAULT (AGG) -OF SECURITY OFF - SERIOUS BODILY INJURY,0
crime,ASSAULT (AGG) - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,0
crime,"""ASSAULT (AGG) -PUBLIC SERVANT - (AGG, NON LAW ENF)""",0
crime,ASSAULT (AGG) -PUB SER (LAW ENF) - SER BOD INJ,0
crime,"""ASSAULT (AGG) -PUB SERV (AGG, LAW ENF)""",0
crime,ASSAULT (AGG) -PUB SERV (NON LAW ENF) - SER BODY INJURY,0
crime,ASSAULT (AGG) -RETALIATION (AGG),0
crime,ASSAULT (AGG) -(SBI) - TRAFFIC - RECKLESS DRIVING,0
crime,ASSAULT (AGG) -SERIOUS BODILY INJURY,0
crime,ASSAULT -BODILY INJURY ONLY,0
crime,ASSAULT -ELD OR DISABLED VIC -BODILY INJURY ONLY,0
crime,ASSAULT -ELD OR DISABLED VIC -OFFENSIVE CONTACT,0
crime,ASSAULT -ELD OR DISABLED VIC -THREATS,0
crime,ASSAULT -EMS PERSONNEL PROVIDING SER - BODILY INJURY ONLY,0
crime,ASSAULT -GOVT CONTR OR EMP VIC - BODILY INJURY ONLY,0
crime,ASSAULT INT/RECK BREATH/CIRC FAM MEM PREV IAT,0
crime,ASSAULT -OF CORRECTIONAL OFFICER - BODILY INJURY ONLY,0
crime,ASSAULT -OF SECURITY OFFICER - BODILY INJURY ONLY,0
crime,ASSAULT ON PUBLIC SERVANT (AGG) - PRELIMINARY INVESTIGATION,0
crime,ASSAULT ON PUBLIC SERVANT - PRELIMINARY INVESTIGATION,0
crime,ASSAULT -PREGNANT PERSON,0
crime,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,0
crime,ASSAULT -PUB SERV (LAW ENF) - BODILY INJURY ONLY,0
crime,ASSAULT -PUB SERV (NON LAW ENF) - BODILY INJURY ONLY,0
crime,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),0
crime,ASSAULT -SPORTS PARTICIPANT VICTIM,0
crime,ASSAULT -VERBAL THREAT,0
crime,ATTACK BY DANGEROUS DOG,0
crime,ATTACK BY DOG DEATH,0
crime,ATTACK BY DOG SBI,0
crime,BESTIALITY,0
crime,BESTIALITY - PRELIMINARY INVESTIGATION,0
crime,BIGAMY,0
crime,BURGLARY OF HABITATION INTEND TO COMMIT SIMPLE ASSAULT,0
crime,CAPITAL MURDER BY TERROR THREAT/OTHER FELONY,0
crime,CAPITAL MURDER OF MULTIPLE PERSONS,0
crime,CAPITAL MURDER WHILE REMUNERATION,0
crime,COERCION OF PUBLIC SERVANT/VOTER THREAT OF FELONY,0
crime,CRIMINAL ATTEMPT,0
crime,CRIMINAL CONSPIRACY,0
crime,CRIMINAL NEGLIGENT HOMICIDE,0
crime,CRIMINAL SOLICITATION,0
crime,DEADLY CONDUCT,0
crime,DEADLY CONDUCT DISCHARGE FIREARM,0
crime,DEADLY CONDUCT DISCHARGE FIREARM (ASSAULT),0
crime,DEADLY CONDUCT DISCHARGE FIREARM (DAMAGE),0
crime,DEADLY CONDUCT DISCHARGE FIREARM (NO ASSAULT NO DAMAGE),0
crime,DEADLY CONDUCT-PRELIMINARY INVESTIGATION,0
crime,DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,0
crime,DOG BITE - INJURED PERSON,0
crime,DOG FIGHTING -,0
crime,DOG FIGHTING - OWNS/POSS DOG FIGHTING EQUIPMENT PC 42.10(e),0
crime,DOG FIGHTING - PRELIMINARY INVESTIGATION,0
crime,DRIVING UNDER INFLUENCE MINOR 3RD-ENH,0
crime,DWI,5
crime,DWI 1 PREV CONV,5
crime,DWI 2 OR MORE PREV CONV,5
crime,DWI BAC > OR EQUAL TO 0.15,5
crime,DWI W/OPEN CONTAINER,5
crime,DWI W/PREV INTOXICATED MANSLAUGHTER CONVICTION,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY (ENHANCED),0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F1,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F2,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F3,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY FS,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY MA,0
crime,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY MB,0
crime,ESCAPE CAUSE BODILY INJURY,0
crime,ESCAPE FROM CUSTODY,0
crime,ESCAPE WHILE ARRESTED/CONFINED FELONY,0
crime,EVADING ARREST DETENTION,0
crime,EVADING ARREST DETENTION CAUSE SBI PC38.04(b2B),0
crime,EVADING ARREST DETENTION CAUSING DEATH,0
crime,EVADING ARREST DETENTION W/PREV CONVICTION,0
crime,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),0
crime,EVADING ARREST DETENTION W/VEH,0
crime,EVADING ARREST DETENTION W/VEHICHLE PC38.04(b)(2)(A),0
crime,EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),0
crime,EVADING ARREST DETENTION W/VEH OR WATERCRAFT,0
crime,EVADING ARREST DET TIRE DEFLA DEV AGAINST OFFICER PC 38.04(b2C),0
crime,EVADING ARREST DET W/VEH W/ PREV CONV OR S.B.I.,0
crime,"""EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)""",0
crime,FLEEING POLICE OFFICER IMMINENT DANGER SBI,0
crime,HARASSMENT-REPEATED ELECTRONIC COMM <18 INTENT SUICIDE OR SBI,0
crime,HOMICIDE,0
crime,HOMICIDE (POLICE SHOOTING),0
crime,INJURED PERSON - FIREARM INJURY (NO OFFENSE),0
crime,INTOX ASSAULT CAUSE SBI PEACE OFFICER/JUDGE,0
crime,INTOX ASSAULT CAUSES BRAIN INJ VEGETATIVE STATE 49.09(b-4),0
crime,INTOX ASSAULT SERIOUS BOD INJ TO PEACE OFC/FIREFIGHT/EMS,0
crime,INTOXICATION ASSAULT W/VEH SERIOUS BODILY INJURY,0
crime,INTOXICATION MANSLAUGHTER - TRAFFIC,0
crime,INTOX MANSLAUGHTER,0
crime,INTOX MANSLAUGHTER CAUSE DEATH PEACE OFC/FIRE/EMS,0
crime,INTOX MANSLAUGHTER WITH VEHICLE,0
crime,KIDNAPPING,0
crime,KIDNAPPING (AGG) -,0
crime,KIDNAPPING (AGG) -FOR RANSOM/REWARD,0
crime,KIDNAPPING (AGG) -  PRELIMINARY INVESTIGATION,0
crime,KIDNAPPING (AGG) -RELEASE VICTIM SAFE PLACE,0
crime,KIDNAPPING (AGG) -TERRORIZE PERSON OR 3RD PARTY,0
crime,KIDNAPPING (AGG) -TERRORIZE PERSON OR 3RD PARTY SAFE RELEASE PC 20.04(d),0
crime,KIDNAPPING - PRELIMINARY INVESTIGATION,0
crime,MANSLAUGHTER,0
crime,MANSLAUGHTER (TRAFFIC FATALITY),0
crime,MANSLAUGHTER - TRAFFIC FATALITY - RECKLESS DRIVING,0
crime,MURDER,0
crime,MURDER (NO CODE),0
crime,REPEATED VIOL.OF CERTAIN C.O.OR COND. OR BOND IN FAM. VIOL,0
crime,RESIST ARREST SEARCH OR TRANSPORT,0
crime,RESIST ARREST SEARCH OR TRANSPORT DEADLY WEAPON,0
crime,"""ROBBERY (AGG) OF BUSINESS, PRELIMINARY INVESTIGATION""",0
crime,"""ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION""",0
crime,ROBBERY OF BUSINESS,0
crime,ROBBERY OF BUSINESS (AGG),0
crime,ROBBERY OF BUSINESS - PRELIMINARY INVESTIGATION,0
crime,ROBBERY OF INDIVIDUAL,0
crime,ROBBERY OF INDIVIDUAL (AGG),0
crime,ROBBERY OF INDIVIDUAL - PRELIMINARY INVESTIGATION,0
crime,STALKING,0
crime,STALKING- PRELIMINARY INVESTIGATION,0
crime,STALKING W/PREV CONVICTION,0
crime,TAKE WEAPON FROM AN OFFICER (ATT),0
crime,TAKE WEAPON FROM AN OFFICER (GUN OR BATON),0
crime,TAKE WEAPON FROM AN OFFICER (MACE/TASER),0
crime,TAMPERING WITH A WITNESS FV CASE - EXTORTION/BLACKMAIL,0
crime,TAMPER W/WITNESS,0
crime,TERRORISTIC THREAT AGAINST PUBLIC SERVANT,0
crime,TERRORISTIC THREAT AGAINST PUB SERV (PEACE OFFICER /JUDGE,0
crime,TERRORISTIC THREAT CAUSES PECUNIARY LOSS OF >$1500,0
crime,TERRORISTIC THREAT - FEAR IMMINENT SBI,0
crime,TERRORISTIC THREAT FEAR IMMINENT SBI,0
crime,TERRORISTIC THREAT IMPAIR PUBLIC/GOV SERVICE,0
crime,TERRORISTIC THREAT IMPAIR PUBLIC SER/PUBLIC FEAR SBI/INFLU GOV,0
crime,TERRORISTIC THREAT INTERRUPT PUBLIC PLACE,0
crime,TERRORISTIC THREAT -PRELIMINARY INVESTIGATION,0
crime,TERRORISTIC THREAT - REACTION EMERGENCY AGENCY,0
crime,TERRORISTIC THREAT REACTION EMERGENCY AGENCY,0
crime,TRAFFIC FATALITY- NOT DWI- UNINTENTIONAL (NO OFFENSE),0
crime,ABANDONED PROPERTY (NO OFFENSE),1
crime,ACCIDENT INV DAMAGE TO VEHICLE <$200,1
crime,ARSON -ALL OTHERS,1
crime,ARSON -ALL OTHER STRUCTURES - INHABITED,1
crime,ARSON -ALL OTHER STRUCTURES - UNINHABITED,1
crime,ARSON -COMMUNITY/PUBLIC - INHABITED,1
crime,ARSON -COMMUNITY/PUBLIC - UNINHABITED,1
crime,ARSON -INDUSTRIAL/MANUFACTURING - UNINHABITED,1
crime,ARSON INTEND DAMAGE HABITAT/PLACE OF WORSHIP,1
crime,ARSON -MOTOR VEH,1
crime,ARSON -OTHER COMMERCIAL - INHABITED,1
crime,ARSON -OTHER COMMERCIAL - UNINHABITED,1
crime,ARSON -OTHER MOBILE PROPERTY,1
crime,ARSON -OTHER RESIDENCE INHABITED,1
crime,ARSON -OTHER RESIDENCE - UNINHABITED,1
crime,ARSON -SINGLE RESIDENCE INHABITED,1
crime,ARSON -SINGLE RESIDENCE UNINHABITED,1
crime,ARSON -STORAGE - INHABITED,1
crime,ARSON -STORAGE - UNINHABITED,1
crime,BURGLARY OF HABITATION -NO FORCED ENTRY,1
crime,BURGLARY - PRELIMINARY INVESTIGATION,1
crime,CRIMINAL MISCHIEF > OR EQUAL $30K<$150K,1
crime,CRIMINAL TRESPASS,1
crime,CRIMINAL TRESPASS AFFIDAVIT,1
crime,CRIMINAL TRESPASS- AGRICULTURAL LAND W/IN 100FT OF BOUNDARY,1
crime,CRIMINAL TRESPASS HAB/DEADLY WEAP/INFRASTRUC,1
crime,CRIMINAL TRESPASS HABIT/SHLTR/SUPRFUND/INFSTRT,1
crime,CRIMINAL TRESPASS INST HIGH EDU PREV CONV IAT,1
crime,CRIMINAL TRESPASS - RESID LAND W/IN 100FT PROTECTED WATER,1
crime,CRIMINAL TRESPASS WARNING,1
crime,CRIMINAL TRESPASS WDEADLY WEAPON,1
crime,CRIM MISCHIEF <$100,1
crime,CRIM MISCHIEF $1500  BUT < $20K DESTROY SCHOOL,1
crime,CRIM MISCHIEF <$1500 HABITATION FA/EXPLOS,1
crime,CRIM MISCHIEF <$2500 HABITATION FA/EXPLOS,1
crime,"""CRIM MISCHIEF < $2,500 HABITATION W/FA/EXPLOS""",1
crime,"""CRIM MISCHIEF < $2,500 LS/GAME ANIM FENCE""",1
crime,CRIM MISCHIEF <$2500 LS/GAME ANIM FENCE,1
crime,CRIM MISCHIEF < $50,1
crime,CRIM MISCHIEF >$750  BUT <$30K DESTROY SCHOOL,1
crime,CRIM MISCHIEF DAMAGE/DESTR WORSHIP/SCHOOL,1
crime,CRIM MISCHIEF IMPAIR/INTERRUPT PUB SERVICE,1
crime,"""CRIM MISCHIEF IMP/INT PUB SERVICE <$20,000""",1
crime,"""CRIM MISCHIEF IMP/INT PUB SERVICE <$30,000""",1
crime,CRIM MISCHIEF IMP/INT PUB SERVICE < $30K,1
crime,CRIM MISCHIEF > OR EQUAL $100 < $750,1
crime,CRIM MISCHIEF >OR EQUAL $100 BUT <$750,1
crime,CRIM MISCHIEF > OR EQUAL $100K BUT < $200K,1
crime,"""CRIM MISCHIEF > OR EQUAL $1,500 BUT < $20K""",1
crime,CRIM MISCHIEF > OR EQUAL $150K < $300K,1
crime,CRIM MISCHIEF >OR EQUAL $150K BUT <$300K,1
crime,CRIM MISCHIEF > OR EQUAL $200K,1
crime,CRIM MISCHIEF > OR EQUAL $20K BUT < $100K,1
crime,"""CRIM MISCHIEF > OR EQUAL $2,500 < $30K""",1
crime,"""CRIM MISCHIEF >OR EQUAL $2,500 BUT <$30K""",1
crime,CRIM MISCHIEF > OR EQUAL $300K,1
crime,CRIM MISCHIEF >OR EQUAL $300K,1
crime,CRIM MISCHIEF > OR EQUAL $30K < $150K,1
crime,CRIM MISCHIEF >OR EQUAL $30K BUT <$150K,1
crime,"""CRIM MISCHIEF > OR EQUAL $500 BUT < $1,500""",1
crime,CRIM MISCHIEF > OR EQUAL $50 BUT < $500,1
crime,"""CRIM MISCHIEF >OR EQUAL $750 < $2,500""",1
crime,CRIM MISCHIEF > OR EQUAL $750 < $30K DESTROY SCHOOL,1
crime,"""CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500""",1
crime,CRIM MISCHIEF -PRELIMINARY INVESTIGATION,1
crime,"""CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$100,000""",1
crime,"""CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$150,000""",1
crime,CRIM MISCHIEF TRANS/COMM EQUIP/DEV < $150K,1
crime,DAMAGE/DESTROY CRITICAL INFRASTRUCTURE (GC 424.051(b)),1
crime,DIVERSION CRIMINAL TRESPASS,1
crime,DUTY ON STRIKE UNATTENDED (PARKED) VEHICLE,1
crime,"""FAIL TO ALLOW ENTRY, INSPECTION (REPAIR SHOP, TOW YARD, DEALERSHIP""",1
crime,FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,1
crime,FICTITIOUS LICENSE PLATE,1
