dataType,text,label
311,.../....///.../....///.../....,15
311,.../...//.../...//.../...//...,15
311,..././..././..././..././......,15
311,.../.\.../.\.../.\.../.\......,15
311,.../Misc. Comments,15
311,...\./...\./...\./...\./......,15
311,...\.\...\.\...\.\...\.\......,15
311,../../../../../../../../../...,15
311,../../../../WEB-INF/web.xml,15
311,../../../WEB-INF/web.xml,15
311,../../../WEB-INF/web.xml;x=,15
311,../../WEB-INF/web.xml,15
311,../../WEB-INF/web.xml;x=,15
311,../WEB-INF/web.xml,15
311,../WEB-INF/web.xml;x=,15
311,..\..\..\..\..\..\..\..\..\...,15
311,./validate_form.php,15
311,() { _; } &gt;_,15
311,() { :;}; /bin/sleep 0,15
311,() { :;}; /bin/sleep 11,15
311,(select extractvalue(xmltyp...,15
311,(select load_file('\\\\615h...,15
311,{!xmlparser v='&lt;!DOCTYPE...,15
311,@(9313*3464),15
311,*)(!(objectClass=*),15
311,*)(objectClass=*,15
311,/./validate_form.php,15
311,/etc/passwd,15
311,\windows\win.ini,15
311,&lt;odb xmlns:xi=&quot;http...,15
311,&lt;vlv xmlns=&quot;http://...,15
311,&quot;--&gt;'--&gt;`--&gt;&...,15
311,%{(#dm=@ognl.OgnlContext@DE...,15
311,%{4761*8506},15
311,%2e%2e%2f%2e%2e%2f%2e%2e%2f...,15
311,%2e%2e%5c%2e%2e%5c%2e%2e%5c...,15
311,%2fetc%2fpasswd,15
311,%c0%ae/%c0%ae/%c0%ae/%c0%ae...,15
311,%c0%ae/%c0%ae/%c0%ae/WEB-IN...,15
311,%c0%ae/%c0%ae/WEB-INF/web.xml,15
311,%c0%ae/WEB-INF/web.xml,15
311,%E5%98%8A%E5%98%8DX-Injecti...,15
311,`sleep 11`,15
311,$(sleep 11),15
311,${3804*3137},15
311,1430*4963,15
311,266dyrgvhg1egsyp2oq57axbm2s...,15
311,a'a\'b&quot;c&gt;?&gt;%}}%%...,15
311,Abandoned Bike,9
311,Abandoned Vehicle,9
311,Adopt-A-Basket,10
311,Advocate - Levy,14
311,Advocate - Lien,14
311,Advocate - Other,14
311,Advocate - RPIE,14
