dataType,text,label
crime,(null),7
crime,ABORTION,6
crime,ADMINISTRATIVE CODE,6
crime,ADMINISTRATIVE CODES,6
crime,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,6
crime,ALCOHOLIC BEVERAGE CONTROL LAW,5
crime,ANTICIPATORY OFFENSES,6
crime,ARSON,1
crime,ASSAULT 3 & RELATED OFFENSES,0
crime,BURGLAR'S TOOLS,1
crime,BURGLARY,1
crime,CANNABIS RELATED OFFENSES,4
crime,CHILD ABANDONMENT/NON SUPPORT,0
crime,CRIMINAL MISCHIEF & RELATED OF,1
crime,CRIMINAL TRESPASS,1
crime,DANGEROUS DRUGS,4
crime,DANGEROUS WEAPONS,4
crime,DISORDERLY CONDUCT,5
crime,DISRUPTION OF A RELIGIOUS SERV,5
crime,ENDAN WELFARE INCOMP,0
crime,ESCAPE 3,0
crime,FELONY ASSAULT,0
crime,FELONY SEX CRIMES,0
crime,FORGERY,3
crime,FORTUNE TELLING,6
crime,FRAUDS,3
crime,FRAUDULENT ACCOSTING,3
crime,GAMBLING,4
crime,GRAND LARCENY,2
crime,GRAND LARCENY OF MOTOR VEHICLE,2
crime,HARRASSMENT 2,0
crime,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",0
crime,HOMICIDE-NEGLIGENT-VEHICLE,0
crime,INTOXICATED & IMPAIRED DRIVING,5
crime,INTOXICATED/IMPAIRED DRIVING,5
crime,JOSTLING,2
crime,KIDNAPPING,0
crime,KIDNAPPING & RELATED OFFENSES,0
crime,KIDNAPPING AND RELATED OFFENSES,0
crime,LOITERING,5
crime,LOITERING FOR DRUG PURPOSES,4
crime,LOITERING/DEVIATE SEX,4
crime,"LOITERING/GAMBLING (CARDS, DIC",4
crime,MISCELLANEOUS PENAL LAW,6
crime,MURDER & NON-NEGL. MANSLAUGHTER,0
crime,NEW YORK CITY HEALTH CODE,6
crime,NYS LAWS-UNCLASSIFIED FELONY,6
crime,NYS LAWS-UNCLASSIFIED VIOLATION,6
crime,OFF. AGNST PUB ORD SENSBLTY &,5
crime,OFFENSES AGAINST MARRIAGE UNCL,6
crime,OFFENSES AGAINST PUBLIC ADMINI,6
crime,OFFENSES AGAINST PUBLIC SAFETY,5
crime,OFFENSES AGAINST THE PERSON,0
crime,OFFENSES INVOLVING FRAUD,3
crime,OFFENSES RELATED TO CHILDREN,6
crime,OTHER OFFENSES RELATED TO THEF,2
crime,OTHER STATE LAWS,6
crime,OTHER STATE LAWS (NON PENAL LA,6
crime,OTHER STATE LAWS (NON PENAL LAW),6
crime,OTHER TRAFFIC INFRACTION,5
crime,PETIT LARCENY,2
crime,PETIT LARCENY OF MOTOR VEHICLE,2
crime,POSSESSION OF STOLEN PROPERTY,2
crime,PROSTITUTION & RELATED OFFENSES,4
crime,RAPE,0
crime,ROBBERY,2
crime,SEX CRIMES,0
crime,THEFT OF SERVICES,2
crime,THEFT-FRAUD,3
crime,UNAUTHORIZED USE OF A VEHICLE,2
crime,UNDER THE INFLUENCE OF DRUGS,4
crime,UNLAWFUL POSS. WEAP. ON SCHOOL,4
crime,VEHICLE AND TRAFFIC LAWS,5
