dataType,text,label
311,General Request - ANIMAL CARE CONTROL,0
311,Noise,1
311,Noise Report,1
311,Damaged Property,2
311,Damage Property,2
311,Encampment,2
311,Encampments,2
311,Graffiti,2
311,Graffiti Private,2
311,Graffiti Public,2
311,Homeless Concerns,2
311,Illegal Postings,2
311,Shared Spaces Violation,2
311,Construction Zone Permits,3
311,General Request - BUILDING INSPECTION,3
311,Residential Building,3
311,Residential Building Request,3
311,Blocked Street and Sidewalk,5
311,Blocked Street or SideWalk,5
311,Sidewalk and Curb,5
311,Sidewalk or Curb,5
311,Street and Sidewalk Cleaning,5
311,Streetlights,5
311,Color Curb,6
311,MTA Parking Traffic Signs High Priority,6
311,MTA Parking Traffic Signs Normal Priority,6
311,Sign Repair,6
311,Temporary Sign Applications,6
311,Temporary Sign Request,6
311,Catch Basin Maintenance,7
311,Street Defect,8
311,Street Defects,8
311,Abandoned Vehicle,9
311,Parking Enforcement,9
311,Rec and Park Requests,10
311,Tree Maintenance,10
311,Sewer,11
311,Sewer Issues,11
311,Litter Receptacle Maintenance,12
311,Litter Receptacles,12
311,Waste of Water,12
311,Well-Being Check,13
311,311 Complaints,14
311,311 External Request,14
311,Behavioral Third Party,14
311,Child Request,14
311,Citations Payment Status,14
311,Citations Protest Status,14
311,Citations Questions Comments,14
311,DPW Volunteer Programs,14
311,Escalation Callback,14
311,Followup,14
311,General Request,14
311,General Request -,14
311,General Request - 311CUSTOMERSERVICECENTER,14
311,General Request - ADULT PROBATION,14
311,General Request - AGING ADULT SERVICES,14
311,General Request - AGINGADULTSERVICES,14
311,General Request - AIRPORT SFO,14
311,General Request - ART COMMISSION,14
311,General Request - ASSESSOR RECORDER,14
311,General Request - BOARD OF APPEALS,14
311,General Request - BOARD OF SUPERVISORS,14
311,General Request - CENTRAL SHOPS,14
311,General Request - CHILDREN YOUTH FAMILIES,14
311,General Request - CHILDSUPPORTSERVICES,14
311,General Request - CITYADMINISTRATOR GSA,14
311,General Request - CITY ATTORNEY,14
311,General Request - CITY COLLEGE,14
311,General Request - CITY HALL,14
311,General Request - CONTRACT ADMINISTRATION,14
311,General Request - CONTROLLER,14
311,General Request - CONVENTION FACILITIES,14
311,General Request - COUNTY CLERK,14
311,General Request - DEM,14
311,General Request - DISTRICT ATTORNEY,14
311,General Request - DPH,14
311,General Request - DPT,14
311,General Request - DTIS,14
311,General Request - ECONOMICS AND WORKFORCE DEVELOPMENT,14
311,General Request - ELECTIONS,14
311,General Request - ENTERTAINMENT COMMISSION,14
311,General Request - ENVIRONMENT,14
311,General Request - ETHICS COMMISSION,14
311,General Request - FILM COMMISSION,14
311,General Request - FIRE DEPARTMENT,14
311,General Request - GRANTS FOR THE ARTS,14
311,General Request - HSH,14
311,General Request - HUMAN RESOURCES,14
311,General Request - HUMAN RIGHTS COMMISSION,14
311,General Request - HUMAN SERVICES AGENCY,14
311,General Request - JUVENILE PROBATION,14
311,General Request - LABOR STANDARDS ENFORCEMENT,14
311,General Request - LANGUAGE SERVICES,14
311,General Request - LIBRARY PUBLIC,14
311,General Request - MEDICAL EXAMINER,14
311,General Request - MOCD,14
311,General Request - MOCJ,14
311,General Request - MOD,14
311,General Request - MOH,14
311,General Request - MONS,14
311,General Request - MTA,14
311,General Request - MUNI,14
311,General Request - MUSEUMS,14
311,General Request - OCC,14
311,General Request - PLANNING,14
311,General Request - PORT AUTHORITY,14
311,General Request - PUBLIC DEFENDER,14
311,General Request - PUBLIC WORKS,14
311,General Request - PUC,14
311,General Request - REAL ESTATE DEPARTMENT,14
311,General Request - REDEVELOPMENT AGENCY,14
311,General Request - RENT BOARD,14
311,General Request - RISK MANAGEMENT,14
311,General Request - RPD,14
311,General Request - SFPD,14
311,General Request - SHERIFF,14
311,General Request - SHORT TERM RENTALS,14
311,General Request - SMALL BUSINESS,14
311,General Request - STATUS OF WOMEN,14
311,General Request - TAXI COMMISSION,14
311,General Request - TIDA,14
311,General Request - TT COLLECTOR,14
311,General Request - WAR MEMORIAL,14
311,Information Provided,14
311,Muni Employee Feedback,14
311,MUNI Feedback,14
311,Muni Service Feedback,14
311,OOC Feedback,14
311,Outbound Call,14
311,Outbound Email,14
311,RPD General,14
311,RPP Application Status,14
311,RPP Questions Comments,14
311,SFHA Requests,14
311,Shared Spaces Request,14
311,Volunteer Programs,14
