dataType,text,label
crime,Assault,0
crime,Homicide,0
crime,Offences Against The Family And Children,0
crime,Rape,0
crime,Sex Offense,0
crime,Arson,1
crime,Burglary,1
crime,Fire Report,1
crime,Lost Property,1
crime,Malicious Mischief,1
crime,Recovered Vehicle,1
crime,Stolen Property,1
crime,Vandalism,1
crime,Vehicle Impounded,1
crime,Vehicle Misplaced,1
crime,Larceny Theft,2
crime,Motor Vehicle Theft,2
crime,Motor Vehicle Theft?,2
crime,Robbery,2
crime,Embezzlement,3
crime,Forgery And Counterfeiting,3
crime,Fraud,3
crime,Drug Offense,4
crime,Drug Violation,4
crime,Gambling,4
crime,"""Human Trafficking (A), Commercial Sex Acts""",4
crime,"""Human Trafficking (B), Involuntary Servitude""",4
crime,"""Human Trafficking, Commercial Sex Acts""",4
crime,Prostitution,4
crime,Weapons Carrying Etc,4
crime,Weapons Offence,4
crime,Weapons Offense,4
crime,Civil Sidewalks,5
crime,Disorderly Conduct,5
crime,Liquor Laws,5
crime,Traffic Violation Arrest,5
crime,Case Closure,6
crime,Courtesy Report,6
crime,Miscellaneous Investigation,6
crime,Missing Person,6
crime,Non-Criminal,6
crime,Other,6
crime,Other Miscellaneous,6
crime,Other Offenses,6
crime,Suicide,0
crime,Suspicious,6
crime,Suspicious Occ,6
crime,Traffic Collision,6
crime,Warrant,6
crime,"""""",7
