name,id,label,description,attribution,USA,type,updatedAt,createdAt,data_updated_at,columns_field_name,columns_description,provenance,,
311 Service Requests,v6vf-nfxy,1,"311 Service Requests received by the City of Chicago. This dataset includes requests created after the launch of the new 311 system on 12/18/2018 and some records from the previous system, indicated in the LEGACY_RECORD column.

For purposes of all columns indicating geographic areas or locations, please note that requests of the type 311 INFORMATION ONLY CALL often are entered with the address of the City's 311 Center.",City of Chicago,Y,dataset,2024-12-02T20:19:41.000Z,2018-12-13T19:44:32.000Z,2024-12-02T20:19:41.000Z,"['street_type', 'location', 'y_coordinate', 'legacy_sr_number', 'zip_code', ':@computed_region_rpca_8um6', ':@computed_region_vrxf_vc4k', ':@computed_region_6mkv_f3dw', ':@computed_region_bdys_3d7i', ':@computed_region_43wa_7qmu', ':@computed_region_du4m_ji7t', 'sanitation_division_days', 'location_zip', 'status', 'state', 'duplicate', 'legacy_record', 'police_sector', 'created_day_of_week', 'location_address', 'location_state', 'latitude', 'last_modified_date', 'created_department', 'sr_short_code', 'sr_number', 'created_month', 'created_hour', 'police_beat', 'electricity_grid', 'street_number', 'street_address', 'location_city', 'created_date', 'owner_department', 'parent_sr_number', 'street_name', 'x_coordinate', 'closed_date', 'origin', 'longitude', 'police_district', 'sr_type', 'city', 'precinct', 'community_area', 'street_direction', 'electrical_district', 'ward']","['', 'The location in a format that allows for creation of maps and other geographic operations on this data portal.', 'The y coordinate of the location in State Plane Illinois East NAD 1983 projection.', 'If this request originated in the previous 311 system, the original Service Request Number.', '', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Boundaries - Wards (2023-)' (du4m-ji7t) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', '', '', '', 'Is this request a duplicate of another request?', 'Did this request originate in the previous 311 system?', '', 'The day of the week component of CREATED_DATE. Sunday=1', '', '', 'The latitude of the location.', '', 'The department, if any, that created the service request.', 'An internal code corresponding to the Service Request Type. This code allows for searching and filtering more easily than using the full SR_TYPE value.', '', 'The month component of CREATED_DATE', 'The hour of the day component of CREATED_DATE.', '', '', '', '', '', '', 'The department with initial responsibility for the service request.', 'Parent Service Request of the record if applicable. If the current Service Request record has been identified as a duplicate request, the record will be created as a child of the original request.', '', 'The x coordinate of the location in State Plane Illinois East NAD 1983 projection.', '', ""How the request was opened. Some values, such as Generated In House and Mass Entry result from the City's own operations."", 'The longitude of the location.', '', '', '', '', '', '', '', '']",official,,v6vf-nfxy
Honolulu 311 Reports,6hui-dvrh,1,Updated daily with reports from the past month.,Honolulu,Y,dataset,2024-12-02T17:00:19.000Z,2015-02-27T00:55:31.000Z,2024-12-02T17:00:19.000Z,"['dateupdated', 'location', 'id', 'datecreated', 'location_city', 'location_state', 'zipcode', 'location_address', 'description', 'city', 'requesttype', ':@computed_region_7asa_3qps', 'statustype', 'location_zip']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",official,,6hui-dvrh
311 Service Requests - Current Year,arf6-qysm,1,"Public Service Requests submitted via 311 in the current year. A dataset containing Service Requests from 2012 to present is available here: https://data.calgary.ca/Services-and-Amenities/311-Service-Requests/iahh-g8bj


For more information on 311 Calgary, or to submit a request, visit http://www.calgary.ca/CFOD/CSC/Pages/311.aspx",The City of Calgary,N,dataset,2024-12-02T15:51:42.000Z,2019-10-25T21:23:39.000Z,2024-12-02T15:51:42.000Z,"['service_request_id', 'requested_date', 'updated_date', 'closed_date', 'status_description', 'source', 'service_name', 'agency_responsible', 'address', 'comm_code', 'comm_name', 'location_type', 'longitude', 'latitude', 'point']","['The unique identifier for an individual request.', 'The date the request was submitted.', 'The most recent date the request was updated.', 'The date the request was closed.', 'The current status of the request (e.g. open, closed).', 'The channel used to submit the request.', 'The type of service requested.', 'The department responsible for this request.', 'The location of the service request (if applicable).', 'The community code associated with the service request location.', 'The community name associated with the service request location.', 'The type of location information provided for this service request. (None, Community Centrepoint, or Service Request Location).', 'The longitude of the service request.', 'The latitude of the service request.', 'The spatial coordinates based on latitude and longitude.']",official,,arf6-qysm
311 Service Requests,iahh-g8bj,1,"Public Service Requests submitted via 311 from 2012 to present. 

For more information on 311 Calgary, or to submit a request, visit http://www.calgary.ca/CFOD/CSC/Pages/311.aspx",The City of Calgary,N,dataset,2024-12-02T14:54:53.000Z,2019-06-12T20:00:58.000Z,2024-12-02T14:54:53.000Z,"['longitude', 'comm_name', 'agency_responsible', 'service_name', 'updated_date', 'requested_date', 'latitude', 'comm_code', 'closed_date', 'service_request_id', 'location_type', 'point', 'status_description', 'source', 'address', ':@computed_region_p8tp_5dkv', ':@computed_region_kxmf_bzkv', ':@computed_region_4a3i_ccfj', ':@computed_region_4b54_tmc4']","['The longitude of the service request.', 'The community name associated with the service request location.', 'The department responsible for this request.', 'The type of service requested.', 'The most recent date the request was updated.', 'The date the request was submitted.', 'The latitude of the service request.', 'The community code associated with the service request location.', 'The date the request was closed.', 'The unique identifier for an individual request.', 'The type of location information provided for this service request. (None, Community Centrepoint, or Service Request Location).', 'The spatial coordinates based on latitude and longitude.', 'The current status of the request (e.g. open, closed).', 'The channel used to submit the request.', 'The location of the service request (if applicable).', '', '', '', '']",official,,iahh-g8bj
311 Call Center Reported Issues,d4px-6rwg,1,"This is the new 311 call center data from MyKCMO, which replaced PeopleSoft CRM on March 4th, 2021. Detailed work order data and resolution of requests may not be found in this system as this represents 311 requests only; for more information see those specific departments.

For older data from PS CRM, please see https://data.kcmo.org/311/311-Call-Center-Service-Requests-2007-March-2021/7at3-sxhp",311 Call Center,Y,dataset,2024-12-02T14:48:35.000Z,2021-03-04T16:55:23.000Z,2024-12-02T14:48:35.000Z,"[':@computed_region_vrdq_ghvi', 'workorder_', ':@computed_region_w4hf_t6bp', ':@computed_region_k7in_q28t', ':@computed_region_qizh_zmq5', 'additional_questions', ':@computed_region_my34_vmp8', 'department_work_group', 'issue_sub_type', 'issue_type', 'report_source', 'open_date_time', 'lat_long', 'council_district', 'source_category', 'current_status', 'reported_issue', 'resolved_date', 'last_updated', 'days_to_close', ':@computed_region_9t2m_phkm', 'incident_address', ':@computed_region_kk66_ngf4', 'longitude', 'latitude']","[""This column was automatically created in order to record in what polygon from the dataset 'Community Improvement District' (vrdq-ghvi) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'For integrated systems such as Cartegraph or EnerGov, the other system will have its own identifier column. ', ""This column was automatically created in order to record in what polygon from the dataset 'Zip Codes' (w4hf-t6bp) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', ""This column was automatically created in order to record in what polygon from the dataset 'City Council Districts (effective 2023)' (qizh-zmq5) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'Any additional questions configured in MyCivic to collect information about the issue. Format concatenates all questions into a single field.', ""This column was automatically created in order to record in what polygon from the dataset 'County Boundary' (my34-vmp8) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'Work group assigned to this type of Issue/Subissue by default. Usually part of a City Department or Division.', 'Narrower subcategory of issue.', 'Broad category of issue.', 'Source of the reported issue; this may be through the mobile apps, the calltakers within the City, or the web form.', 'Date and time that the issue was reported originally.', '', ""Councilmatic district of the reported issue's address or location."", 'Aggregate field, combining externally-driven sources (web, Android and iOS) and internally-generated sources (phone, email, fax, etc)', 'Current status of the reported issue.', 'Issue identifier. Format varies based on which work order system the issue belongs to.', 'Date and time that the issue was marked as resolved.', 'last update for the issue. may not be accurate or filled in for cases created prior to June 2021.', 'Days between opening and closing the reported issue, rounded down. If the issue is still open, this is the number of days it has been open. ', ""This column was automatically created in order to record in what polygon from the dataset 'Council Districts' (9t2m-phkm) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'The address originally reported ', ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Census' (kk66-ngf4) the point in column 'lat_long' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', '']",official,,d4px-6rwg
Service requests received by the Oakland Call Center (OAK 311),quth-gb8e,1,"REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline’s prior tracking system when they switched to the same system as the Oakland Call Center in August 2012. All others are 6 digits. 

DATETIMEINIT = The Date that the request was initiated. 

SOURCE = Indicates if the request was received via SeeClickFix or the OAK 311 mobile app, via the legacy Report A Problem website, or via (Phone or Email). 

DESCRIPTION = Type of issue. Most of these are self-explanatory. Notes: “test template” and “This is a test subject. Ignore this ticket.” were for testing/training purposes only. Descriptions starting with “Business” “City Services” “CityBldg” (no space) “Events” “Misc” are/were used by the Recycling Hotline “TE” means “Traffic Engineering” 

REQCATEGORY = Request Category 

REQADDRESS = Request Address An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline. 


STATUS = The status as of date of upload. PENDING: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Oakland Call Center received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that the City is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request WAITING ON CUSTOMER: Request involves a process where customer needs to provide information requested by staff EVALUATED - NO FURTHER ACTION: Staff has evaluated the service request and no further action will be taken (e.g., limited resources, temporary issue, staff alerted to ongoing issue, professional judgement says to leave situation as-is, unable to provide requested action) GONE ON ARRIVAL: Staff went to location and was unable to verify the issue

DATETIMECLOSED = The Date that the request was closed 

SRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude. 

REFERREDTO = If the status is Referred, this shows who it was referred to. 

COUNCILDISTRICT = City Council District of the REQADDRESS.

BEAT = Police Beat of the REQADDRESS (see http://mapgis.oaklandnet.com/PoliceDistricts/ for a map of police beats)",City of Oakland Public Works / Department of Transportation,Y,dataset,2024-12-02T14:01:36.000Z,2013-04-16T17:57:36.000Z,2024-12-02T14:01:36.000Z,"['zipcode', ':@computed_region_w23w_jfhw', 'state', 'city', 'probaddress', 'beat', 'councildistrict', 'sry', 'reqaddress_zip', 'srx', 'reqaddress_state', 'datetimeclosed', 'referredto', 'reqaddress_city', 'reqaddress_address', 'status', 'reqaddress', 'reqcategory', 'description', 'source', 'datetimeinit', 'requestid']","['', '', '', '', '', 'Police Beat', 'City Council District of the REQADDRESS.', 'Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude.', '', 'Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude.', '', 'The Date that the request was closed', ' If the status is Referred, this shows who it was referred to.', '', '', 'STATUS = The status as of date of upload. PENDING: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Oakland Call Center received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that the City is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request WAITING ON CUSTOMER: Request involves a process where customer needs to provide information requested by staff EVALUATED - NO FURTHER ACTION: Staff has evaluated the service request and no further action will be taken (e.g., limited resources, temporary issue, staff alerted to ongoing issue, professional judgement says to leave situation as-is, unable to provide requested action) GONE ON ARRIVAL: Staff went to location and was unable to verify the issue', 'Request Address', 'Request Category', 'Type of issue. Most of these are self-explanatory. Notes: “test template” and “This is a test subject. Ignore this ticket.” were for testing/training purposes only. Descriptions starting with “Business” “City Services” “CityBldg” (no space) “Events” “Misc” are/were used by the Recycling Hotline “TE” means “Traffic Engineering”', 'Indicates if the request was received via SeeClickFix, via the Report A Problem website at www.oaklandpw.com, or via (Phone or Email).', 'The Date that the request was initiated.', 'The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline’s prior tracking system when they switched to the same system as the Oakland Call Center in August 2012. All others are 6 digits.']",official,,quth-gb8e
Commonwealth Connect Service Requests,2z9k-mv9g,1,"Non-emergency service requests submitted through Cambridge's Commonwealth Connect application powered by SeeClickFix Open311. 

Please note that the City of Cambridge uses Commonwealth Connect to track both public and internal work orders. Occasionally, a ticket will change from internal to public, or vice-versa. All tickets that originated as public requests are included in this dataset. However, technical constraints prevent us from displaying information for tickets that originated as internal work orders.

Prior to using Commonwealth Connect, the City utilized iReport. Three open datasets derive from historical iReport data: 
-Pothole Repair Requests (https://data.cambridgema.gov/Public-Works/Pothole-Repair-Requests/h2y4-rf5c)
-Graffiti Cleanup Requests (https://data.cambridgema.gov/Public-Works/Graffiti-Clean-Up-Requests/hk2d-8z9b)
-Unshoveled/Icy Sidewalk Complaints (https://data.cambridgema.gov/Public-Works/Unshoveled-Icy-Sidewalk-Complaints/72bt-ct3c)
-Snow/Ice Sidewalk Ordinance Violations (https://data.cambridgema.gov/Public-Works/Snow-Ice-Sidewalk-Ordinance-Violations/q8b2-58ab)",Cambridge,Y,dataset,2024-12-02T12:33:31.000Z,2016-03-23T20:21:33.000Z,2024-12-02T12:33:31.000Z,"['address', 'ticket_last_updated_date_time', 'acknowledged_at', 'lng', 'ticket_created_date_time', 'ticket_id', 'location_state', 'issue_type', 'lat', 'ticket_closed_date_time', 'issue_description', 'issue_category', 'location_address', 'location_zip', 'ticket_status', 'image', 'city', 'location', ':@computed_region_rcj3_ccgu', ':@computed_region_guic_hr4a', ':@computed_region_v7jj_366k', ':@computed_region_rffn_qbt6', ':@computed_region_swkg_bavi', 'html_url', 'location_city']","['The relevant address for each ticket. ', '', '', 'the longitude for each ticket. ', 'The date and time when each ticket was opened. ', 'The unique ID associated with each SeeClickFix ticket', '', 'The subject of each SeeClickFix ticket. ', 'The latitude for each ticket. ', 'The date and time when each closed ticket was resolved. Not applicable for open tickets. ', 'User submitted description of the issue associated with each ticket.', 'The category of each SeeClickFix ticket. ', '', '', ""Each ticket's current status. Closed tickets have been resolved. "", 'An image associated with the ticket. SeeClickFix users have the option of submitting a photo when submitting a ticket. ', '', 'The lat/lon coordinates for each ticket. ', '', '', '', '', '', '', '']",official,,2z9k-mv9g
311 Citizen Requests for Service,7ixm-mnvx,1,"This dataset includes all requests for service received from the City-Parish 311 Call Center, including requests for service submitted online and through the Red Stick 311 mobile application, dating back to January 1, 2016. Submitter names, phone numbers, and e-mail addresses are redacted for privacy purposes. Data is updated daily from the Public Works Business Office and 311 Call Center.

Phone numbers are redacted to protect the contact information and privacy of citizens by replacing raw digits with XXX-XXX-XXXX. For any questions about this process, please contact opendata@brgov.com.",Baton Rouge,Y,dataset,2024-12-02T12:24:18.000Z,2016-10-05T14:36:26.000Z,2024-12-02T12:24:18.000Z,"['comments', 'streetnum', 'streetname', ':@computed_region_qfmj_2fwi', ':@computed_region_ntzg_c2w3', ':@computed_region_8tu6_j4iw', ':@computed_region_hfgy_t898', 'division', 'geolocation_state', 'id', ':@computed_region_92rf_uvyc', 'lastaction', 'closeddate', 'deptdivid', 'geolocation', 'longitude', 'deptdiv', 'latitude', 'cityname', 'crossname', 'streetaddress', 'parenttype', 'createdate', 'statusdesc', ':@computed_region_jrqt_zu77', ':@computed_region_uvg4_nwq8', ':@computed_region_i2e6_956r', 'geolocation_address', 'status', 'department', 'geolocation_city', 'geolocation_zip', 'typeid', 'parentid', ':@computed_region_8siy_mghw', ':@computed_region_tm4z_r3je', ':@computed_region_tqy7_429i', 'typename']","['Any comments submitted by the reporting citizen associated with the request for service or issue to be resolved.', 'The street number of the address where services are needed or issues need to be resolved.', 'The name of the street where services are needed or issues need to be resolved.', '', '', '', '', 'The City-Parish division responsible for responding to the requested service or reported issue, which is a division of the department noted in the Department field.', '', 'Unique identifier assigned to each citizen request for service for tracking and resolution purposes.', '', 'The date of the most recent adjustment or notation to this service request, as noted by the responding department/division. Typically, this field will match that of the closed date if a request has been resolved or closed.', 'The date the service request was closed due to the request  as being addressed or the issue  being resolved, confirmed by the responding department/division.', 'The ID of the City-Parish department and division responsible for responding to the requested service or reported issue.\n', '', 'The longitude coordinates of the issue or request for service for geocoding purposes.', 'The City-Parish department and division responsible for responding to the requested service or reported issue - matches that of the DeptDivID field.', 'The latitude coordinates of the issue or request for service for geocoding purposes.', 'The city of the reported issue - Baton Rouge, Baker, Zachary, or Central. Issues reported in the unincorporated areas of East Baton Rouge Parish or without city information are reported as East Baton Rouge.', 'Any cross street information available as reported by the submitting citizen (for example, at an intersection).', 'The full street address where service are needed or issues need to be resolved.', 'The parent type of service request - matches that of the ParentID field.', ""The date the service request was created within the City-Parish's 311 service request and complaint tracking system, either by phone, online, or via web app."", 'Matches Status ID - Open, Closed, or In Progress.', '', '', '', '', 'Status of service request 0 = Open, 1 = Closed, 3 = In Progress.', 'The City-Parish department with oversight over the requested service or reported issue.', '', '', 'The specific type of service request represented by the request ID.\n', 'The parent category ID of the type of service request (typename) as organized within the City-Parish 311 Citizen Request system.\n', '', '', '', 'A description of the type of service request represented by the request ID - matches that of the TypeID field.']",official,,7ixm-mnvx
311 Cases - COB,bscu-qpbu,1,"The 311 Cases dataset represents service request or inquiry calls, emails and online requests submitted to the City of Berkeley.","Berkely, CA",Y,dataset,2024-12-02T12:23:39.000Z,2017-08-16T18:12:44.000Z,2024-12-02T12:23:39.000Z,"['object_type', 'neighborhood', 'location_state', 'city', 'street_address', 'location_address', 'location_city', 'state', 'location_zip', 'date_closed', 'case_id', 'latitude', 'request_category', 'location', 'request_subcategory', 'request_detail', 'apn', 'longitude', 'date_opened', 'case_status', ':@computed_region_u3y2_d2ws', ':@computed_region_3ini_iehf', ':@computed_region_fhmw_rucx', ':@computed_region_5s6d_2f32', ':@computed_region_x3q3_gi3e', ':@computed_region_5bih_7r3y', ':@computed_region_b3wi_w8ix']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Council Districts_from_c8zs_8y7x' (u3y2-d2ws) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Police Beats' (3ini-iehf) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Council Districts_from_hg3u_n7v4' (fhmw-rucx) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Zip Codes' (5s6d-2f32) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Council Districts' (x3q3-gi3e) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Census Tracts' (5bih-7r3y) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Council Districts_uniq_prepend' (b3wi-w8ix) the point in column 'location' is located. This enables the creation of region maps (choropleths) in the visualization canvas and data lens.""]",official,,bscu-qpbu
Little Rock 311 Service Calls 2016 to Year To Date,2x6n-j9fb,1,This dataset displays the 311 service requests to the City from January 2016 through year to date.,Little Rock,Y,dataset,2024-12-02T12:16:33.000Z,2018-01-26T18:25:40.000Z,2024-12-02T12:16:33.000Z,"['latitude', 'request_outcome', 'issue_sub_category', 'ticket_created_date_time', 'longitude', 'neighborhood_district', 'street_address', 'ticket_closed_date_time', 'ticket_method_received', 'ticket_id', 'issue_type', 'request_activity', 'city', 'zip', 'new_geocoded_address', 'ticket_status', ':@computed_region_efe8_9vpd', ':@computed_region_r36e_4rwh', ':@computed_region_2m93_nqiv', ':@computed_region_bvk6_adqe', ':@computed_region_sik9_b88c', ':@computed_region_hjy3_kwkw', ':@computed_region_kp8k_tt9x', ':@computed_region_t2qk_n4g3', ':@computed_region_sh95_mkgw', ':@computed_region_3ti5_7qwp', ':@computed_region_kais_bab8']","['', 'Outcome on Code Enforcement service requests', 'A description of the sub-category type of service request ', ""The date the service request was created within the City's 311 service request tracking system"", '', 'City Ward', 'The full street address where service are needed or issues need to be resolved', 'The date the service request was closed due to the request being addressed or the issue being resolved, confirmed by the responding department/division', 'Method by which the 311 request was received', 'Unique identifier assigned to each citizen request for service for tracking and resolution purposes', 'A description of the parent type of service request ', 'Activity completed by City staff on Code Enforcement service requests', '', '', '', 'Matches Status ID Open or Closed', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'LRPD Patrol Districts 2020' (sik9-b88c) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Patrol Districts' (hjy3-kwkw) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Associations' (kp8k-tt9x) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Wards' (t2qk-n4g3) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Association Boundaries' (sh95-mkgw) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Association Boundaries 2019' (3ti5-7qwp) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Little Rock Ward Boundaries' (kais-bab8) the point in column 'new_geocoded_address' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens.""]",official,,2x6n-j9fb
