name,id,,label,description,attribution,type,updatedAt,createdAt,data_updated_at,columns_field_name,columns_description,provenance,,,
County Sheriff Reported Crimes,ahxi-5nsc,"Marin County, CA",1,"Reported crimes of the Marin County Sheriff's Department. Data is updated every four hours. Data begins as of January 1, 2013. Each reported crime includes its date/time, approximate location, crime type, and crime classification.

NOTE: For the safety and security of victims of crimes, street address locations, other than reported street intersections or highway locations, are not exact.  They are adjusted to the nearest block level.

There are two columns of city/town information.  The first is the reported city/town name in the crime records.  The second, which is not in the crime records, is a translation of it into the more commonly known city/town name, or into Marin County when it appears to be in an unincorporated area.  For example, Almonte and Tam Valley are reported city/town names, but they are both in the more commonly known city of Mill Valley.  Lucas Valley translates to San Rafael, etc.  We hope that the translated city/town column will facilitate analysis.","County of Marin, CA",dataset,2024-12-02T20:05:07.000Z,2017-04-20T16:46:08.000Z,2024-12-02T20:05:07.000Z,"['unique_id', 'longitude', 'incident_city_town_mapping', 'incident_city_town', 'crime_class', 'im_dr', 'incident_date_time', 'incident_street_address', 'latitude', 'crime', 'location_address', 'location_zip', 'location_city', 'jurisdiction', 'location_state', 'location', ':@computed_region_3c6h_y28d', ':@computed_region_nyxm_p3bi', ':@computed_region_yigg_54f9', ':@computed_region_bgqc_3apt', ':@computed_region_tuu7_u9kx', ':@computed_region_6s5y_serh']","['', '', '', '', '', '', '', '', '', '', '', '', '', 'Note: ""SO"" is County Sheriff jurisdiction.', '', '', '', '', '', '', '', '']",official,,,ahxi-5nsc
PDI (Police Data Initiative) Crime Incidents,k59e-2pvf,Cincinatti,1,"Data Description: This data represents reported Crime Incidents in the City of Cincinnati. Incidents are the records, of reported crimes, collated by an agency for management. Incidents are typically housed in a Records Management System (RMS) that stores agency-wide data about law enforcement operations. This does not include police calls for service, arrest information, final case determination, or any other incident outcome data.
 
Data Creation: The Cincinnati Police Department's (CPD) records crime incidents in the City through Records Management System (RMS) that stores agency-wide data about law enforcement operations. 

Data Created By: The source of this data is the Cincinnati Police Department.

Refresh Frequency: This data is updated daily.

CincyInsights: The City of Cincinnati maintains an interactive dashboard portal, CincyInsights in addition to our Open Data in an effort to increase access and usage of city data. This data set has an associated dashboard available here: https://insights.cincinnati-oh.gov/stories/s/8eaa-xrvz

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this dataset.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics  facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad

Disclaimer: In compliance with privacy laws, all Public Safety datasets are anonymized and appropriately redacted prior to publication on the City of Cincinnati’s Open Data Portal. This means that for all public safety datasets: (1) the last two digits of all addresses have been replaced with “XX,” and in cases where there is a single digit street address, the entire address number is replaced with ""X""; and (2) Latitude and Longitude have been randomly skewed to represent values within the same block area (but not the exact location) of the incident.",City of Cincinnati,dataset,2024-12-02T19:13:56.000Z,2017-11-15T13:19:05.000Z,2024-12-02T19:13:56.000Z,"['instanceid', 'incident_no', 'date_reported', 'date_from', 'date_to', 'clsd', 'ucr', 'dst', 'beat', 'offense', 'location', 'theft_code', 'floor', 'side', 'opening', 'hate_bias', 'dayofweek', 'rpt_area', 'cpd_neighborhood', 'weapons', 'date_of_clearance', 'hour_from', 'hour_to', 'address_x', 'longitude_x', 'latitude_x', 'victim_age', 'victim_race', 'victim_ethnicity', 'victim_gender', 'suspect_age', 'suspect_race', 'suspect_ethnicity', 'suspect_gender', 'totalnumbervictims', 'totalsuspects', 'ucr_group', 'zip', 'community_council_neighborhood', 'sna_neighborhood']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",official,,,k59e-2pvf
HPD Crime Incidents,vg88-5rn5,Honolulu,1,Visit crimemapping.com (https://www.crimemapping.com/) for a visual view of the data.,,dataset,2024-12-02T19:00:46.000Z,2023-03-13T23:11:18.000Z,2024-12-02T19:00:46.000Z,"['objectid', 'incidentnum', 'blockaddress', 'cmid', 'cmagency', 'date', 'type', 'status', 'score', 'side']","['', '', '', '', '', '', '', '', '', '']",official,,,vg88-5rn5
KCPD Crime Data (since 2015),gqy2-yvmn,Kansas City,1,"This dataset contains KCPD crime reports for all years since 2015. This data is then cleaned to remove duplicate reports (`Report_No`) while maintaining pertinent information of those involved (suspects, victims, arrestees, and deceased). Additional context regarding the nature of the crime being reported is also added. 

Columns in which DataKC has not been provided a clear definition on their meanings has been omitted from the original source. Once clarity can be provided on these columns, they will be added back in. Data is updated at the end of each year.",,dataset,2024-12-02T18:49:59.000Z,2024-11-21T16:49:29.000Z,2024-12-02T18:49:59.000Z,"['report_no', 'suspect_count', 'arrestee_count', 'victim_count', 'deceased_count', 'reported_date', 'reported_time', 'ibrs', 'description', 'location', 'beat', 'address', 'city', 'zip_code', 'rep_dist', 'area', 'dvflag', 'firearm_used_flag', 'offense_type', 'violent_flag', 'latitude', 'longitude', 'geoloc', ':@computed_region_kk66_ngf4', ':@computed_region_k7in_q28t', ':@computed_region_w4hf_t6bp', ':@computed_region_qizh_zmq5', ':@computed_region_vrdq_ghvi']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Census' (kk66-ngf4) the point in column 'geoloc' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Public Works Maintenance Districts' (k7in-q28t) the point in column 'geoloc' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Zip Codes' (w4hf-t6bp) the point in column 'geoloc' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'City Council Districts (effective 2023)' (qizh-zmq5) the point in column 'geoloc' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Community Improvement District' (vrdq-ghvi) the point in column 'geoloc' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens.""]",official,,,gqy2-yvmn
Crime Level Data,bc88-hemr,Colorado Springs,1,"This dataset includes all criminal offenses reported to the Colorado Springs Police Department. Each case report (incident) may have several offenses. Each offense may have multiple suspects and/or victims.

Important: This dataset provided by CSPD does not apply the same counting rules as official data reported to the Colorado Bureau of Investigations and the Federal Bureau of Investigation. This means comparisons to those datasets would be inaccurate.",Colorado Springs Police Department,dataset,2024-12-02T17:46:03.000Z,2020-12-29T21:21:38.000Z,2024-12-02T17:46:03.000Z,"['city', 'statutedescription', 'streetaddress', 'crimecodedescription', 'patrol_division', 'statute', 'location_point', 'crimecode', 'casenumber', 'domestic', 'index_crime_category', 'disposition', ':@computed_region_2q37_snsf', 'nciccode', 'occurredfromdate', 'occurredthroughdate', 'reporteddate', 'nciccodedescription', 'zip', 'dispositiondate']","['City of occurrence ', 'CSPD records management system description of statute or ordinance. City ordinance violations are generally in all caps. ', 'Address of occurrence (street address)', 'Uniform Crime Reporting Offense Code Description', 'CSPD division of occurrence ', 'Colorado Revised Statute or City of Colorado Springs Ordinance', 'Latitude and longitude of occurrence ', 'Uniform Crime Reporting Offense Code', ""Number used to identify a case in CSPD's records management system"", 'Indicates whether a crime is categorized as domestic violence ', 'Category of crime as defined by Federal Bureau of Investigation', 'Case status ', ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhoods' (2q37-snsf) the point in column 'location_point' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'National Crime Information Center Offense Code', 'Date offense first began', 'Date offense ended ', 'Date offense reported to CSPD ', 'National Crime Information Center Offense Code Description', 'Zip code of occurrence', 'Date of last case status ']",official,,,bc88-hemr
KCPD Crime Data 2024,isbe-v4d8,Kansas City,1,"This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri. The displayed information is the most current information from the data source as of the date of upload. The data source is dynamic and therefore constantly changing. Changes to the information may occur, as incident information is refined. While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided. The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood. In no event shall the Board be liable in any way to the users of this data. Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.",KCPD Information Technology,dataset,2024-12-02T14:31:06.000Z,2024-01-08T15:43:16.000Z,2024-12-02T14:31:06.000Z,"[':@computed_region_qizh_zmq5', 'from_date', 'from_time', 'to_date', 'address', 'zip_code', 'dvflag', 'race', 'sex', 'fire_arm_used_flag', 'reported_date', 'location', 'age', 'beat', 'report_no', ':@computed_region_vrdq_ghvi', 'reported_time', 'to_time', 'description', 'city', 'involvement', 'rep_dist', 'age_range', 'offense', 'ibrs', 'area', ':@computed_region_kk66_ngf4', ':@computed_region_k7in_q28t', ':@computed_region_w4hf_t6bp']","[""This column was automatically created in order to record in what polygon from the dataset 'City Council Districts (effective 2023)' (qizh-zmq5) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', '', '', '', '', '', '', '', '', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Community Improvement District' (vrdq-ghvi) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', '', '', '', '', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Neighborhood Census' (kk66-ngf4) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Public Works Maintenance Districts' (k7in-q28t) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Zip Codes' (w4hf-t6bp) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens.""]",official,,,isbe-v4d8
Memphis Police Department: Public Safety Incidents,puh4-eea4,Memphis,1,"This dataset contains all crime incidents where a police report was taken. Data goes back to 2019 and is updated each morning by 8:30am. Note that sex crimes and juvenile specific crime types are omitted from this dataset. Please see the data dictionary attached for more details.

Terms of Use: The information in this portal is provided strictly as a courtesy to the public. This website provides information as to initial crime reports, and does not reflect subsequent changes in the investigation, nature, or accuracy of the initial report. While all attempts are made to ensure the correctness and suitability of information presented here, neither the City of Memphis nor the Memphis Police Department guarantee the accuracy of the information contained herein. Crime data may be amended or corrected by the Memphis Police Department at any time. This data may not reflect the official crime index totals as reported to the Tennessee Bureau of Investigation.",City of Memphis,dataset,2024-12-02T14:13:27.000Z,2024-05-07T16:50:34.000Z,2024-12-02T14:13:27.000Z,"[':@computed_region_fuzm_ngj2', ':@computed_region_g8my_uw59', ':@computed_region_nyzj_ikpv', ':@computed_region_m99d_em2n', ':@computed_region_scpn_qt9a', ':@computed_region_gxae_hf64', ':@computed_region_xf2b_u4zq', ':@computed_region_qnac_u4vd', ':@computed_region_fe8q_buag', ':@computed_region_y9za_kydd', ':@computed_region_me95_vbw4', ':@computed_region_k5dd_nin6', '_100_block_coordinates', 'offense_group_nibrs', 'state', 'reported_date', 'lat', 'precinct', 'location', 'agency_crime_id', 'zip', 'crime_id', 'offense_date', 'ucr_incident_code', 'ucr_description', 'ucr_category', 'group_nibrs', '_100_block', 'street_name', 'city', 'full_address_100_block', 'long', 'ward', 'part_one_two']","[""This column was automatically created in order to record in what polygon from the dataset 'Council District Boundaries Dec 2022' (fuzm-ngj2) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'MPD Wards' (g8my-uw59) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Community Neighborhoods Boundaries 2' (nyzj-ikpv) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Community Neighborhoods Boundaries 1' (m99d-em2n) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Council Super District Boundaries Dec 2022' (scpn-qt9a) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'City Council Districts' (gxae-hf64) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Memphis 3.0 Planning Districts' (xf2b-u4zq) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Memphis 3.0 Focus Anchors Buffers' (qnac-u4vd) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'MPD Districts' (fe8q-buag) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Memphis Police Department Stations' (y9za-kydd) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Shelby County Zip Codes' (me95-vbw4) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", ""This column was automatically created in order to record in what polygon from the dataset 'Census Tracts' (k5dd-nin6) the point in column '_100_block_coordinates' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", '', 'NIBRS classified crimes as either crimes against people, property or society', 'State where the incident occurred', 'Date the offense was reported', 'Rounded latitude for the incident', 'Police precinct where the incident occurred. See precinct boundaries here', 'Combined latitude and longitude for the purpose of mapping', 'Internal MPD crime type', 'Zip code where the incident occurred', 'Autogenerated system ID number', 'Date the offense occurred', 'Uniform Crime Report (UCR) incident code. See Appendix A in data dictionary for full list.', 'UCR crime type based on NIBRS. 52 Group A offenses. See Appendix A in data dictionary for full list and definitions.', 'UCR index crime categories. The 52 offense types are grouped in 23 categories. See Appendix A in data dictionary for full list.', 'Group A or B per the National Incident Based Reporting System (NIBRS) classification', 'Rounded block number where the incident occurred', 'Street where the incident occurred', 'City where the incident occurred', 'Full address with rounded street number where the incident occurred', 'Rounded longitude for the incident', 'Police ward where the incident occurred. See ward boundaries here', 'Part 1 crimes include murder, robbery, rape, arson, burglary, larceny and motor vehicle theft']",official,,,puh4-eea4
Crime Reports,n9u6-aijz,Santa Clara,1,Santa Clara County Sheriff's Office incident dataset,SCC Sheriff Public Information Officer,dataset,2024-12-02T14:05:33.000Z,2018-06-14T13:11:19.000Z,2024-12-02T14:05:33.000Z,"['parent_incident_type', 'incident_description', 'state', 'incident_type_primary', 'address_1', 'incident_datetime', 'city', 'case_number']","['The parent Incident type', 'Describes the type of Incident that occurred', 'The State of the Incident', 'The primary Incident type', 'The approximate address of the Incident', 'The date and time of the Incident', 'The City of the Incident', 'A unique ID for identifying an Incident']",official,,,n9u6-aijz
Providence Police Case Log - Past 180 days,rz3y-pz8v,Providence,1,"Recorded state and municipal offenses from AEGIS records management system of the Providence Police.  A single case can contain multiple offenses.  Refer to the case number to see all offenses for a particular case.  The case number can also be used to look up arrest activity for a case in the Providence Police Arrest Log.  
<br><b>UPDATE:</b><br>
Incident location is now using block range instead of house numbers. Addresses between 1 and 99 will be 0 Block, addresses between 100 and 199 will use 100 block and so on.  If you are looking for actual addresses you can use the city's <a href=""https://providenceri.nextrequest.com/"" target=""_blank"" rel=""noopener noreferrer"">Open Records Portal</a> to make a request. <br><br>
To help maintain the anonymity of special victims and juveniles this list does not include violent sexual offenses, non-violent sexual offenses or incidents of  harassment. Cases being investigated by the department's Special Victims Unit (SVU) or Youth Services Bureau (YSB) will not be published.",City of Providence,dataset,2024-12-02T13:45:15.000Z,2015-10-30T17:26:17.000Z,2024-12-02T13:45:15.000Z,"['statute_desc', 'reported_date', 'offense_desc', 'reporting_officer', 'location', 'statute_code', 'year', 'casenumber', 'counts', 'month']","['', '', '', '', '', '', '', '', '', '']",official,,,rz3y-pz8v
KCSO Offense Reports: 2020 to Present,4kmt-kfqf,Seattle etc,1,"The King County Sheriff’s Office (KCSO) is providing offense report data captured in it's Records Management System (RMS) from 2020 to present. KCSO replaced its RMS in late 2018 and at the same time transitioned to the FBI’s National Incident-Based Reporting System (NIBRS). The NIBRS standardization of crime classifications allows for comparison over time and between agencies. For official KCSO NIBRS reporting, please visit the WASPC Crime in Washington Report: https://www.waspc.org/cjis-statistics---reports.

Disclaimer: Only finalized (supervisor approved) reports are released. Those in draft, awaiting supervisor approval, or completed after the daily update of data, will not appear until the subsequent day(s). Data updates once every twenty-four hours. Records and classification changes will occur as a report makes its way through the approval and investigative process, thus reports might appear in the data set one day, but be removed the next day if there is a change in the approval status. This mirrors the fluidity of an investigation.  Once a report is re-approved, it will show back up in the data set. Other than approval status, the report case status is factored into what can be released in the daily data set. As soon as a report case status matches the criteria for release, it will be included in the data set. For a list of offenses that are included in the data set, please see the attached pdf.

Resources:
 - KCSO's 2019 crime data: https://data.kingcounty.gov/Law-Enforcement-Safety/King-County-Sheriff-s-Office-Incident-Dataset/rzfs-wyvy
- Police District GIS shapefile: https://gis-kingcounty.opendata.arcgis.com/datasets/king-county-sheriff-patrol-districts-patrol-districts-area/explore
- Police District key: https://data.kingcounty.gov/Law-Enforcement-Safety/KCSO-Patrol-Districts/ptrt-hdax/data
- For more information on definitions and classifications, please visit https://www.fbi.gov/services/cjis/ucr/nibrs
- SPD's Crime Data: https://data.seattle.gov/Public-Safety/SPD-Crime-Data-2008-Present/tazs-3rd5",King County Sheriff's Office,dataset,2024-12-02T13:26:21.000Z,2021-05-13T22:52:22.000Z,2024-12-02T13:26:21.000Z,"['updated_at', 'district', 'city', 'block_address', 'nibrs_code_name', 'id', 'case_number', 'incident_datetime', 'created_at', 'reporting_area', 'zip', 'hour_of_day', 'precinct', 'state', 'day_of_week', 'nibrs_code']","['Date and time the report was last updated. ', 'Designated police boundary where offense(s) occurred. There are three police boundaries: reporting area, district and precinct. District is the middle size. A district can represent one contract city or unincorporated area, or multiple districts together can make up one contract city. There is a corresponding district shape file that can be used to associate an offense to a district.', 'City offense(s) occured.', 'Offense(s) address location blurred to the one hundred block.', 'NIBRS offense name.', 'The unique identifier for each row.', 'Primary key/UID for the overall report. One report can contain multiple offenses. ', 'Start date and time of the offense(s) occurred.', 'Date and time the offense(s) report was created/reported. (Can differ from date of occurrence)', 'Designated police boundary where offense(s) occurred. There are three police boundaries: reporting area, district and precinct. Reporting area is the smallest. ', 'Zip code where the offense(s) occurred.', 'Hour of the day the offense(s) occurred. ', 'Designated police boundary where offense(s) occurred. There are three police boundaries: reporting area, district and precinct. Precinct is the biggest. ', 'State offense(s) occured.', 'Day of the week the offense(s) occurred. ', 'NIBRS offense code.']",official,,,4kmt-kfqf
