dataType,text,label
311,Animal Bite,0
311,Animal Control - Assistance Request,0
311,Animal In Vehicle,0
311,Animal - Proper Care,0
311,Animal Protection - Animal Bite,0
311,Animal Protection - Animal In Vehicle,0
311,Animal Protection - Animal Proper Care,0
311,Animal Protection - Animal Roadside Sales,0
311,Animal Protection - Animal Trapped in Storm Drain,0
311,Animal Protection - Assistance Request,0
311,Animal Protection - Coyote Complaints,0
311,Animal Protection - Dangerous Dog Complaint,0
311,Animal Protection - Dog Restraint Issues,0
311,Animal Protection - Found Animal Assistance,0
311,Animal Protection - Injured/Sick Animal,0
311,Animal Protection - Loose Animal Not Dog,0
311,Animal Protection - Loose Dog,0
311,Animal Protection - Vicious Dog Complaint,0
311,Animal Protection - Wildlife Exposure,0
311,Animal Roadside Sales,0
311,Animal Services - Contact Request,0
311,Animal Trapped in Storm Drain,0
311,Bat Complaint,0
311,Coyote Complaints,0
311,Dangerous Animal - Except Dogs,0
311,Dangerous/Vicious Dog Investigation,0
311,Dead Bird,0
311,Found Animal - Pick Up,0
311,Found Animal Report - Keep,0
311,Injured / Sick Animal,0
311,Loose Animal (not dog),0
311,Loose Animal Not Dog,0
311,Loose Dog,0
311,Pet Resource Center - Assistance Request,0
311,Pet Resource Center - Found Pet Report,0
311,Wildlife Exposure,0
311,zCoyote Complaints,0
311,zz - Coyote Compliants,0
311,ZZZ ARR Dead Animal Collection,0
311,AFD - Fireworks Complaint,1
311,APD - Non Emergency Noise/Alarm,1
311,DSD - Outdoor Commercial Venue Music Complaint,1
311,Loud Commercial Music,1
311,Loud Music,1
311,ZZ - AFD - Fireworks Complaint,1
311,ZZ AFD - Fireworks Complaint,1
311,ZZAFD - Fireworks Complaint,1
311,Zz_Loud Commercial Music,1
311,APH - Graffiti Abatement - Public Property,2
311,Graffiti Abatement,2
311,ACD - Construction Rest Break Complaint,3
311,ACD - Private Hauler License Violation,3
311,ACD - Request Code Officer,3
311,ATD - Construction Concerns in Right of Way,3
311,ATD - Construction Items in Right of Way,3
311,Austin Code - Construction Ordinance SR,3
311,Austin Code - Construction Rest Break Complaint,3
311,Austin Code - Request Code Officer,3
311,Austin Code - Short Term Rental Complaint SR,3
311,Austin Code - Short Term Rental (STR) Appointment,3
311,Austin Code - Signs/Billboards,3
311,Austin Code - Woodridge Apt,3
