dataType,text,label
crime,ABUSE OF CORPSE,0
crime,ACCIDENTAL DEATH,0
crime,ACCIDENTAL DRUG OVERDOSE,0
crime,ACCIDENTAL INJURY,0
crime,ACCIDENTAL SHOOTING INJURY,0
crime,ACCIDENTAL SHOOTING NON-INJURY,0
crime,AGG ASLT ENHANC STRANGL/SUFFOC,0
crime,AGG ASLT STRANGLE/SUFFOCATE,0
crime,AGG ASLT W/MOTOR VEH FAM/DAT V,0
crime,AGG ASSAULT,0
crime,AGG ASSAULT BY PUBLIC SERVANT,0
crime,AGG ASSAULT FAM/DATE VIOLENCE,0
crime,AGG ASSAULT ON PEACE OFFICER,0
crime,AGG ASSAULT ON PUBLIC SERVANT,0
crime,AGG ASSAULT WITH MOTOR VEH,0
crime,AGG FORCED SODOMY,0
crime,AGG FORCED SODOMY OF CHILD,0
crime,AGG KIDNAPPING,0
crime,AGG KIDNAPPING FAM VIO,0
crime,AGG RAPE,0
crime,AGG RAPE OF A CHILD,0
crime,AGG ROBBERY BY ASSAULT,0
crime,AGG ROBBERY/DEADLY WEAPON,0
crime,AGG ROBBERY/DEADLY WEAPON   (ATTEMPTED),0
crime,AGG ROBBERY/DEADLY WEAPON (ATTEMPTED),0
crime,AGG SEXUAL ASSAULT CHILD/OBJEC,0
crime,AGG SEXUAL ASSAULT CHILD/OBJECT-SUPER,0
crime,AGG SEXUAL ASSAULT W OBJECT,0
crime,AGG SODOMY,0
crime,AIDING SUICIDE,0
crime,ANIMAL BITE,0
crime,ANIMAL BITE - FIREARM USED,0
crime,ASSAULT BY CONTACT,0
crime,ASSAULT BY CONTACT FAM/DATING,0
crime,ASSAULT BY THREAT,0
crime,ASSAULT BY THREAT FAM/DATING,0
crime,ASSAULT  CONTACT-SEXUAL NATURE,0
crime,ASSAULT CONTACT-SEXUAL NATURE,0
crime,ASSAULT INFO (FAMILY VIOLENCE,0
crime,ASSAULT INFORMATION,0
crime,ASSAULT INFORMATION   (ATTEMPTED),0
crime,ASSAULT INFORMATION (ATTEMPTED),0
crime,ASSAULT OF A PREGNANT WOMAN,0
crime,ASSAULT OF PREGNANT WM-FAM/DAT,0
crime,ASSAULT ON PEACE OFFICER,0
