dataType,text,label
crime,ASSAULT,0
crime,BATTERY,0
crime,CRIMINAL SEXUAL ASSAULT,0
crime,CRIM SEXUAL ASSAULT,0
crime,DOMESTIC VIOLENCE,0
crime,HOMICIDE,0
crime,HUMAN TRAFFICKING,0
crime,INTIMIDATION,0
crime,KIDNAPPING,0
crime,OFFENSE INVOLVING CHILDREN,0
crime,SEX OFFENSE,0
crime,STALKING,0
crime,ARSON,1
crime,BURGLARY,1
crime,CRIMINAL DAMAGE,1
crime,CRIMINAL TRESPASS,1
crime,MOTOR VEHICLE THEFT,2
crime,ROBBERY,2
crime,THEFT,2
crime,DECEPTIVE PRACTICE,3
crime,CONCEALED CARRY LICENSE VIOLATION,4
crime,GAMBLING,4
crime,NARCOTICS,4
crime,OTHER NARCOTIC VIOLATION,4
crime,PROSTITUTION,4
crime,WEAPONS VIOLATION,4
crime,INTERFERENCE WITH PUBLIC OFFICER,5
crime,LIQUOR LAW VIOLATION,5
crime,OBSCENITY,5
crime,PUBLIC INDECENCY,5
crime,PUBLIC PEACE VIOLATION,5
crime,NON - CRIMINAL,6
crime,NON-CRIMINAL,6
crime,NON-CRIMINAL (SUBJECT SPECIFIED),6
crime,OTHER OFFENSE,6
crime,RITUALISM,6
