dataType,text,label
crime,"A&B HANDS, FEET, ETC. - MED. ATTENTION REQ.",0
crime,"ASSAULT (AGG) -PUBLIC SERVANT - (AGG, NON LAW ENF)",0
crime,"EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)",0
crime,"Human Trafficking (A), Commercial Sex Acts",0
crime,"Human Trafficking (B), Involuntary Servitude",0
crime,"Human Trafficking, Commercial Sex Acts",0
crime,"ROBBERY (AGG) OF BUSINESS, PRELIMINARY INVESTIGATION",0
crime,"ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION",0
crime,"TAMPER FABRIC. PHYSICAL EVID. ALTER,DESTROY CONCEAL HUMAN CORPSE",0
crime,"TRAFFICKING OF PERSONS, CONTINUOUS",0
crime,VOYEURISM-PEEPING TOM,5
crime,"BMV <$1,500 2/MORE PREV CONV- (BY EMPLOYEE",1
crime,"BMV <$1,500 2/MORE PREV CONV- (NOT EMPLOYEE)",1
crime,"COMPUTER SECURITY BREACH > OR EQUAL $2,500 < $30K",1
crime,"COMPUTER SECURITY BREACH > OR EQUAL $750 < $2,500",1
crime,"CRIM MISCHIEF < $2,500 HABITATION W/FA/EXPLOS",1
crime,"CRIM MISCHIEF < $2,500 LS/GAME ANIM FENCE",1
crime,"CRIM MISCHIEF IMP/INT PUB SERVICE <$20,000",1
crime,"CRIM MISCHIEF IMP/INT PUB SERVICE <$30,000",1
crime,"CRIM MISCHIEF > OR EQUAL $1,500 BUT < $20K",1
crime,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",1
crime,"CRIM MISCHIEF >OR EQUAL $2,500 BUT <$30K",1
crime,"CRIM MISCHIEF > OR EQUAL $500 BUT < $1,500",1
crime,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",1
crime,"CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500",1
crime,"CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$100,000",1
crime,"CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$150,000",1
crime,"POSSSESS, MANUFACTOR OR DISTRIBUTE RETAIL THEFT INSTRUMENT",2
crime,"THEFT OF CARGO > OR EQUAL $1,500 < $10K (EMP) PC31.18(c1)",2
crime,"THEFT OF CARGO > OR EQUAL $1,500 < $10K (NOT EMP) PC31.18(c1)",2
crime,THEFT OF PROP <$100 ENH (SHOPLIFT-NOT EMP) PC31.03(f),2
crime,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2
crime,THEFT OF PROP <$100-OTH THAN SHOPLIFT-W/PREV CONV,2
crime,THEFT OF PROP <$100-OTH THAN SHOPLIFT W/PREV CONVIC ENH,2
crime,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2
crime,"THEFT OF PROP <$1,500 2/MORE PREV CONV (BY EMP)",2
crime,"THEFT OF PROP <$1,500 2/MORE PREV CONV - NOT SHOPLIFT",2
crime,"THEFT OF PROP <$1,500 2+ PREV CONVIC -SHOPLFT-(NOT EMP)",2
crime,"THEFT OF PROP <$2,500 2+CONV ENH (NOT SHOPLIFT) PC31.03(f)",2
crime,"THEFT OF PROP <$2,500 2+CONV ENH (SHOPLIFT-NOT EMP) PC31.03(f)",2
crime,"THEFT OF PROP <$2,500 2+PREV CONV (EMPLOYEE) PC31.03(e4D)",2
